"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",2001,24071.03173792700909701,19591062.814308199044130
"MYS",2002,61830.25539132165397814,50203063.206266439050088
"MYS",2003,60417.40799971842734516,52584647.170675528930795
"MYS",2004,113430.80118116780277549,98235148.147146710779003
"MYS",2005,114500.97758878860583161,100808674.763881505470379
"MYS",2006,113091.99806108552376113,98315178.002371925382418
"MYS",2007,142090.14161264610173192,124653027.225307851317685
"MYS",2008,139261.93236116659587250,122134936.787104038660938
"MYS",2009,235849.10760864956334256,223051601.370440055683087
"MYS",2010,139654.71880903511555337,123312904.691993358101829
"MYS",2011,161194.64147466423207596,147824798.893124371474857
"MYS",2012,244316.13355940678576033,214306791.057583435332088
"MYS",2013,106043.15465297385762635,92171804.497923988082862
"MYS",2014,230442.64745550464391042,189051134.514881755620253
"MYS",2015,154364.54528155678932909,122283280.371380134468332
"MYS",2016,185232.90322278219424846,140953983.299303530928852
"MYS",2017,162423.48168012817772602,120300663.706186170171560
"MYS",2018,144571.66023044405970038,106473892.149815113335088
"MYS",2019,120185.00546443269579764,90411919.650753404955874
"MYS",2020,72977.18606732345183675,55410714.378492653737799
"MYS",2021,72235.02882161459843291,54429238.503379346332549
"MYS",2022,71927.90353239104088308,53658299.377431727307876
"MYS",2023,79279.04724037485871717,59582247.488191263125478
"MYS",2024,68850.47607567432961472,51479549.868461232716504
