country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Malaysia,Johor,Batu Pahat,0,198077,198077,198077,9538,3985,2155,1510,3118,3041,2055,4488,1122,3214,1380,4639,2838,1430,3190,2794,5015,4308,3963,3957,2922,3246,2314,3727,3103
Malaysia,Johor,Batu Pahat,10,198077,165072,164908,9538,3971,2147,1504,3104,3025,2045,4468,1118,3194,1378,4628,2815,1375,2985,2584,4555,3938,3525,3403,2541,2679,1990,2860,2413
Malaysia,Johor,Batu Pahat,15,198077,163478,163210,9538,3967,2145,1502,3100,3023,2042,4464,1118,3192,1378,4626,2813,1371,2975,2573,4528,3917,3505,3379,2524,2661,1977,2821,2384
Malaysia,Johor,Batu Pahat,20,198077,162303,161965,9538,3961,2140,1500,3096,3020,2040,4460,1117,3190,1378,4624,2810,1369,2967,2564,4508,3902,3481,3360,2508,2645,1964,2787,2358
Malaysia,Johor,Batu Pahat,25,198077,161666,160773,9538,3959,2138,1499,3094,3019,2039,4459,1116,3188,1377,4622,2809,1367,2963,2558,4498,3894,3472,3351,2501,2637,1957,2772,2347
Malaysia,Johor,Batu Pahat,30,198077,160446,159895,9538,3954,2135,1498,3092,3017,2038,4457,1115,3186,1377,4621,2807,1362,2952,2551,4478,3879,3458,3334,2489,2622,1948,2748,2325
Malaysia,Johor,Batu Pahat,50,198077,153928,152518,9538,3916,2112,1479,3062,2990,2021,4423,1107,3168,1374,4604,2788,1346,2902,2510,4366,3803,3387,3245,2421,2545,1886,2578,2215
Malaysia,Johor,Batu Pahat,75,198077,130399,132512,9538,3665,1947,1369,2838,2791,1907,4197,1039,3024,1339,4475,2677,1263,2665,2269,3836,3420,3038,2868,2119,2186,1611,2027,1775
Malaysia,Johor,Johor Baharu,0,97836,97836,97836,4060,744,994,457,1457,1600,2165,722,589,2045,1557,962,1695,913,2249,1442,1744,1961,2187,2117,1597,1222,477,1713,1183
Malaysia,Johor,Johor Baharu,10,97836,56374,48816,4060,735,985,453,1440,1582,2149,714,586,2039,1553,958,1671,854,2062,1260,1491,1705,1954,1916,1426,991,379,1215,852
Malaysia,Johor,Johor Baharu,15,97836,55439,47678,4060,733,983,452,1437,1579,2147,712,586,2037,1553,957,1668,850,2051,1249,1475,1694,1944,1901,1417,976,376,1194,841
Malaysia,Johor,Johor Baharu,20,97836,55012,47124,4060,732,980,451,1433,1577,2144,711,585,2037,1552,956,1666,847,2042,1244,1465,1687,1938,1894,1413,968,374,1183,833
Malaysia,Johor,Johor Baharu,25,97836,54666,46432,4060,731,979,451,1432,1575,2142,710,585,2035,1552,956,1665,847,2037,1240,1459,1682,1933,1890,1409,964,371,1177,829
Malaysia,Johor,Johor Baharu,30,97836,54076,45498,4060,729,975,451,1429,1574,2141,710,585,2035,1552,956,1665,844,2024,1231,1444,1667,1924,1877,1404,954,367,1161,821
Malaysia,Johor,Johor Baharu,50,97836,51633,41124,4060,714,955,443,1392,1545,2110,701,579,2018,1543,949,1647,830,1979,1189,1388,1621,1881,1819,1374,908,348,1111,782
Malaysia,Johor,Johor Baharu,75,97836,43364,33642,4060,612,823,403,1180,1346,1909,624,545,1903,1475,915,1572,763,1757,974,1163,1407,1711,1656,1230,715,272,913,622
Malaysia,Johor,Keluang,0,287339,287339,287339,17954,12402,8170,4661,9723,6871,6824,7062,3144,8577,6073,13174,7942,5204,8789,6899,8297,9796,6155,7089,5976,5853,4445,7576,5816
Malaysia,Johor,Keluang,10,287339,242619,241893,17954,12314,8131,4629,9671,6848,6809,7033,3136,8556,6066,13150,7879,4962,8155,6481,7521,8984,5654,6393,5061,4639,3447,5339,3628
Malaysia,Johor,Keluang,15,287339,240880,240177,17954,12296,8124,4624,9662,6843,6805,7029,3133,8552,6064,13145,7872,4950,8122,6455,7479,8941,5628,6355,5024,4595,3406,5274,3561
Malaysia,Johor,Keluang,20,287339,239492,238218,17954,12279,8115,4616,9650,6836,6802,7022,3131,8548,6063,13141,7868,4937,8084,6426,7446,8908,5610,6324,4994,4563,3376,5209,3484
Malaysia,Johor,Keluang,25,287339,238773,236927,17954,12272,8111,4613,9644,6834,6801,7021,3130,8546,6062,13139,7865,4932,8067,6411,7428,8893,5598,6311,4979,4543,3360,5180,3455
Malaysia,Johor,Keluang,30,287339,237611,235611,17954,12258,8105,4609,9640,6831,6799,7018,3129,8544,6061,13136,7860,4923,8047,6396,7399,8862,5578,6283,4958,4512,3338,5140,3411
Malaysia,Johor,Keluang,50,287339,231235,227832,17954,12125,8043,4570,9572,6787,6766,6975,3114,8507,6047,13097,7823,4859,7891,6284,7232,8700,5473,6149,4834,4362,3230,4949,3220
Malaysia,Johor,Keluang,75,287339,207778,205283,17954,11502,7669,4314,9092,6454,6509,6670,3003,8233,5935,12858,7634,4610,7361,5891,6596,7970,4951,5528,4151,3624,2635,4019,2360
Malaysia,Johor,Kota Tinggi,0,340499,340499,340499,20696,7340,11092,2201,14121,14047,9159,6577,5269,10177,6295,8646,6658,6051,11443,5966,8024,8275,5717,4984,3581,4502,2104,4142,2670
Malaysia,Johor,Kota Tinggi,10,340499,291910,284003,20696,7297,11066,2190,14080,14001,9141,6567,5265,10165,6285,8627,6595,5832,10817,5519,7320,7708,5311,4527,3238,4085,1822,2955,1898
Malaysia,Johor,Kota Tinggi,15,340499,290111,281378,20696,7287,11060,2186,14070,13992,9136,6566,5264,10163,6281,8625,6590,5823,10787,5498,7274,7672,5285,4502,3222,4057,1805,2913,1877
Malaysia,Johor,Kota Tinggi,20,340499,288881,279435,20696,7275,11051,2184,14056,13979,9132,6564,5262,10161,6280,8623,6585,5812,10761,5480,7242,7650,5268,4481,3208,4037,1791,2886,1860
