TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555705804,555705804,1,Pinang Seribu Turtle Sanctuary,Pinang Seribu Turtle Sanctuary,Turtle Sanctuary,Turtle Sanctuary,National,IV,Not Applicable,1,0,0.0026308771409269,0.0107988142827,0.0107942716223779,Not Reported,0,Designated,2006,Sub-national ministry or agency,Not Reported,District Office (Besut),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705628,555705628,1,Matunggong,Matunggong Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,3.32005059462618,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705629,555705629,1,Meliau Range,Meliau Range Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,229.386035795695,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705712,555705712,1,Mekelok,Mekelok Water Catchment Forest,Forest Reserve,Forest Reserve,National,VI,Not Applicable,0,0,0,3.11311569291,3.11301687365276,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Terengganu State Forestry Department,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,14541,14541,1,Usun Apau National Park,Usun Apau National Park,National Park,National Park,National,II,Not Applicable,0,0,0,471.221015625,471.297352241138,Not Applicable,0,Designated,2005,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705589,555705589,1,Sungai Meluang National Park,Sungai Meluang National Park,National Park,National Park,National,II,Not Applicable,0,0,0,22.5098999023438,22.5166077864678,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705592,555705592,1,Bungo Range National Park,Bungo Range National Park,National Park,National Park,National,II,Not Applicable,0,0,0,65.3931982421875,65.4029491480751,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705593,555705593,1,Dered Krian National Park,Dered Krian National Park,National Park,National Park,National,II,Not Applicable,0,0,0,9.36138000488281,9.36237353191827,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9816,9816,1,Loagan Bunut National Park,Loagan Bunut National Park,National Park,National Park,National,II,Not Applicable,0,0,0,101.377998046875,101.406786442672,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705594,555705594,1,Sampadi National Park,Sampadi National Park,National Park,National Park,National,II,Not Applicable,0,0,0,9.33893005371094,9.33892482082132,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,791,791,1,Niah National Park,Niah National Park,National Park,National Park,National,II,Not Applicable,0,0,0,36.5334008789063,36.5408001725277,Not Applicable,0,Designated,1974,Sub-national ministry or agency,Not Reported,Sarawak Forestry Corporation (SFC),Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
